date,SampleID,TA,TrisCalDate,(Intercept),TTris,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp,Sampling_Date,mVTris,pH
20240716,tank1,0.001835781,7/15/2024,-99.45420609,1.26397558,1,20240716,TD,16:10,16:40,-23.3,22.194,31.88,7.6,22,7/16/2024,-71.40153208,7.350647619
20240716,tank2,0.001832753,7/15/2024,-99.45420609,1.26397558,2,20240716,TD,16:10,16:40,-24.2,17.917,31.94,7.4,18,7/16/2024,-76.80755563,7.396624464
20240716,tank3,0.001801725,7/15/2024,-99.45420609,1.26397558,3,20240716,TD,16:10,16:40,-52,23.071,31.96,7.8,22,7/16/2024,-70.2930255,7.832719425
20240716,tank4,0.001840081,7/15/2024,-99.45420609,1.26397558,4,20240716,TD,16:10,16:40,-17.9,18.821,31.93,7.3,18,7/16/2024,-75.66492171,7.281390992
20240716,tank5,0.001820195,7/15/2024,-99.45420609,1.26397558,5,20240716,TD,16:10,16:40,-31.1,18.173,31.96,7.7,18,7/16/2024,-76.48397788,7.514153308
20240716,tank6,0.001793173,7/15/2024,-99.45420609,1.26397558,6,20240716,TD,16:10,16:40,-48.9,18.58,31.95,7.9,18,7/16/2024,-75.96953982,7.818569244
20240716,tank7,0.001813069,7/15/2024,-99.45420609,1.26397558,7,20240716,TD,16:10,16:40,-30.9,18.62,31.93,7.5,18,7/16/2024,-75.9189808,7.507307975
20240716,tank8,0.001832802,7/15/2024,-99.45420609,1.26397558,8,20240716,TD,16:10,16:40,-35.2,18.307,31.97,7.6,18,7/16/2024,-76.31460516,7.584032274
20240716,tank9,0.001833188,7/15/2024,-99.45420609,1.26397558,9,20240716,TD,16:10,16:40,-12.1,18.56,31.98,7.2,18,7/16/2024,-75.99481933,7.182961102
20240716,tank10,0.001827141,7/15/2024,-99.45420609,1.26397558,10,20240716,TD,16:10,16:40,-49.1,18.388,31.92,7.8,18,7/16/2024,-76.21222313,7.823685261
20240716,tank11,0.001848374,7/15/2024,-99.45420609,1.26397558,11,20240716,TD,16:10,16:40,-22.9,22.234,31.99,7.5,22,7/16/2024,-71.35097306,7.343539291
20240716,tank12,0.001820074,7/15/2024,-99.45420609,1.26397558,12,20240716,TD,16:10,16:40,-24.3,22.309,31.92,7.4,22,7/16/2024,-71.25617489,7.36688966
20240716,tank13,0.001812152,7/15/2024,-99.45420609,1.26397558,13,20240716,TD,16:10,16:40,-57.3,18.695,31.93,8,18,7/16/2024,-75.82418263,7.962632961
20240716,tank14,0.001834612,7/15/2024,-99.45420609,1.26397558,14,20240716,TD,16:10,16:40,-7.8,22.046,31.94,7.2,22,7/16/2024,-71.58860046,7.087071266
20240716,tank15,0.001816175,7/15/2024,-99.45420609,1.26397558,15,20240716,TD,16:10,16:40,-36.2,22.386,31.96,7.7,22,7/16/2024,-71.15884877,7.569269878
20240716,tank17,0.001805649,7/15/2024,-99.45420609,1.26397558,17,20240716,TD,16:10,16:40,-51,22.171,31.91,7.9,22,7/16/2024,-71.43060352,7.823522454
20240716,tank18,0.001825716,7/15/2024,-99.45420609,1.26397558,18,20240716,TD,16:10,16:40,-12.2,22.179,31.98,7.3,22,7/16/2024,-71.42049171,7.161333101
20240716,tank19,0.001800705,7/15/2024,-99.45420609,1.26397558,19,20240716,TD,16:10,16:40,-56,22.105,31.98,8,22,7/16/2024,-71.5140259,7.90944222
20240723,tank1,0.001840205,7/22/2024,-103.632012,1.522427643,1,20240723,TD,10:30,11:00,-35.9,21.927,33.53,7.6,22,7/23/2024,-70.24974104,7.593178927
20240723,tank2,0.0018388,7/22/2024,-103.632012,1.522427643,2,20240723,TD,10:30,11:00,-20.8,17.677,33.51,7.4,18,7/23/2024,-76.72005852,7.346203021
20240723,tank3,0.00184499,7/22/2024,-103.632012,1.522427643,3,20240723,TD,10:30,11:00,-47.7,21.87,33.58,7.8,22,7/23/2024,-70.33651941,7.794955239
20240723,tank4,0.001852683,7/22/2024,-103.632012,1.522427643,4,20240723,TD,10:30,11:00,-18.1,17.958,33.53,7.3,18,7/23/2024,-76.29225635,7.298748313
20240723,tank5,0.00183013,7/22/2024,-103.632012,1.522427643,5,20240723,TD,10:30,11:00,-42.1,17.982,33.58,7.7,18,7/23/2024,-76.25571809,7.714154264
20240723,tank6,0.001833469,7/22/2024,-103.632012,1.522427643,6,20240723,TD,10:30,11:00,-49.4,17.879,33.54,7.9,18,7/23/2024,-76.41252814,7.840960366
20240723,tank7,0.001840864,7/22/2024,-103.632012,1.522427643,7,20240723,TD,10:30,11:00,-33.2,18.122,33.55,7.5,18,7/23/2024,-76.04257822,7.559628666
20240723,tank8,0.001802047,7/22/2024,-103.632012,1.522427643,8,20240723,TD,10:30,11:00,-34.8,18.044,33.54,7.6,18,7/23/2024,-76.16132758,7.587575554
20240723,tank9,0.001850759,7/22/2024,-103.632012,1.522427643,9,20240723,TD,10:30,11:00,-13.5,17.834,33.51,7.2,18,7/23/2024,-76.48103738,7.219371537
20240723,tank10,0.001824409,7/22/2024,-103.632012,1.522427643,10,20240723,TD,10:30,11:00,-47.8,18.164,33.52,7.8,18,7/23/2024,-75.97863626,7.812073224
20240723,tank11,0.001841213,7/22/2024,-103.632012,1.522427643,11,20240723,TD,10:30,11:00,-28.8,22.212,33.55,7.5,22,7/23/2024,-69.81584916,7.47103505
20240723,tank12,0.001844018,7/22/2024,-103.632012,1.522427643,12,20240723,TD,10:30,11:00,-25.3,21.925,33.58,7.4,22,7/23/2024,-70.25278589,7.412141799
20240723,tank13,0.001828678,7/22/2024,-103.632012,1.522427643,13,20240723,TD,10:30,11:00,-56.3,17.952,33.56,8,18,7/23/2024,-76.30139092,7.960109163
20240723,tank14,0.001846586,7/22/2024,-103.632012,1.522427643,14,20240723,TD,10:30,11:00,-11.8,22.064,33.53,7.2,22,7/23/2024,-70.04116845,7.181274848
20240723,tank15,0.001841567,7/22/2024,-103.632012,1.522427643,15,20240723,TD,10:30,11:00,-40.5,22.123,33.57,7.7,22,7/23/2024,-69.95134522,7.67100755
20240723,tank17,0.001833858,7/22/2024,-103.632012,1.522427643,17,20240723,TD,10:30,11:00,-50.9,21.896,33.55,7.9,22,7/23/2024,-70.2969363,7.849506881
20240723,tank18,0.001846231,7/22/2024,-103.632012,1.522427643,18,20240723,TD,10:30,11:00,-19.7,22.016,33.57,7.3,22,7/23/2024,-70.11424498,7.316263218
20240723,tank19,0.001833353,7/22/2024,-103.632012,1.522427643,19,20240723,TD,10:30,11:00,-61.1,21.837,33.54,8,22,7/23/2024,-70.38675953,8.024028371
20240729,tank1,0.001769856,7/29/2024,-132.6668113,1.483013784,1,20240729,VH,11:50,12:32,-68.8,21.783,33.5,7.6,22,7/29/2024,-100.362322,7.645058887
20240729,tank2,0.001801374,7/29/2024,-132.6668113,1.483013784,2,20240729,VH,11:50,12:32,-54.6,17.868,33.49,7.4,18,7/29/2024,-106.168321,7.416046224
20240729,tank3,0.001741901,7/29/2024,-132.6668113,1.483013784,3,20240729,VH,11:50,12:32,-86,22.043,33.54,7.8,22,7/29/2024,-99.97673842,7.937582845
20240729,tank4,0.001730741,7/29/2024,-132.6668113,1.483013784,4,20240729,VH,11:50,12:32,-49.9,17.978,33.46,7.3,18,7/29/2024,-106.0051895,7.334303365
20240729,tank5,0.001709654,7/29/2024,-132.6668113,1.483013784,5,20240729,VH,11:50,12:32,-73.9,17.902,33.44,7.7,18,7/29/2024,-106.1178985,7.75012196
20240729,tank6,0.001717465,7/29/2024,-132.6668113,1.483013784,6,20240729,VH,11:50,12:32,-83.1,17.75,33.48,7.9,18,7/29/2024,-106.3433166,7.910209667
20240729,tank7,0.001712194,7/29/2024,-132.6668113,1.483013784,7,20240729,VH,11:50,12:32,-62.2,17.556,33.51,7.5,18,7/29/2024,-106.6310213,7.548880138
20240729,tank8,0.00170454,7/29/2024,-132.6668113,1.483013784,8,20240729,VH,11:50,12:32,-65.2,17.923,33.48,7.6,18,7/29/2024,-106.0867552,7.599389425
20240729,tank9,0.001717438,7/29/2024,-132.6668113,1.483013784,9,20240729,VH,11:50,12:32,-44.2,17.839,33.49,7.2,18,7/29/2024,-106.2113284,7.236024052
20240729,tank10,0.001740143,7/29/2024,-132.6668113,1.483013784,10,20240729,VH,11:50,12:32,-79.7,18.044,33.5,7.8,18,7/29/2024,-105.9073105,7.849850199
20240729,tank11,0.001728051,7/29/2024,-132.6668113,1.483013784,11,20240729,VH,11:50,12:32,-62.3,21.847,33.62,7.5,22,7/29/2024,-100.2674091,7.533734268
20240729,tank12,0.001729535,7/29/2024,-132.6668113,1.483013784,12,20240729,VH,11:50,12:32,-56.3,21.923,33.53,7.4,22,7/29/2024,-100.1547001,7.430954593
20240729,tank13,0.001711486,7/29/2024,-132.6668113,1.483013784,13,20240729,VH,11:50,12:32,-88.2,18.059,33.46,8,18,7/29/2024,-105.8850653,7.996880156
20240729,tank14,0.001796469,7/29/2024,-132.6668113,1.483013784,14,20240729,VH,11:50,12:32,-39.3,21.845,33.55,7.2,22,7/29/2024,-100.2703752,7.140804093
20240729,tank15,0.001708744,7/29/2024,-132.6668113,1.483013784,15,20240729,VH,11:50,12:32,-75.9,21.99,33.54,7.7,22,7/29/2024,-100.0553382,7.765399351
20240729,tank17,0.001739676,7/29/2024,-132.6668113,1.483013784,17,20240729,VH,11:50,12:32,-83.1,21.92,33.45,7.9,22,7/29/2024,-100.1591491,7.888707373
20240729,tank18,0.001745434,7/29/2024,-132.6668113,1.483013784,18,20240729,VH,11:50,12:32,-49.3,21.936,33.5,7.3,22,7/29/2024,-100.1354209,7.311354604
20240729,tank19,0.001733833,7/29/2024,-132.6668113,1.483013784,19,20240729,VH,11:50,12:32,-93.7,21.816,33.48,8,22,7/29/2024,-100.3133825,8.07035576
