,ID,color,shell_length_initial,shell_width_initial,shell_depth_initial,wet_weight_initial,tank,cage,rep,date,
1 ctrl 1,1,tag,55.18,25.71,22.97,17.47,1,ctrl,1,7/7/2024,
1 ctrl 2,2,tag,45.15,21.4,22.8,12.0186,1,ctrl,2,7/7/2024,
1 ctrl 3,3,tag,50.51,23.56,23.12,13.745,1,ctrl,3,7/7/2024,
1 ctrl 4,4,tag,48.82,23.93,22.77,15.4405,1,ctrl,4,7/7/2024,
1 ctrl 5,5,tag,52.24,26.3,23.59,15.8736,1,ctrl,5,7/7/2024,
1 ctrl 6,6,tag,51.54,24.11,22.45,16.4836,1,ctrl,6,7/7/2024,
2 ctrl 1,7,tag,57.68,29.66,24.95,21.2315,2,ctrl,1,7/7/2024,
2 ctrl 2,8,tag,51.75,23.83,23.23,17.0896,2,ctrl,2,7/7/2024,
2 ctrl 3,9,tag,43.87,22.75,21.71,11.7751,2,ctrl,3,7/7/2024,
2 ctrl 4,10,tag,54.84,23.73,24.3,17.275,2,ctrl,4,7/7/2024,
2 ctrl 5,11,tag,46.84,23.65,23.93,16.596,2,ctrl,5,7/7/2024,
2 ctrl 6,12,tag,51.44,23.46,20.93,12.185,2,ctrl,6,7/7/2024,
3 ctrl 1,13,tag,54.04,25.44,26.32,21.1103,3,ctrl,1,7/7/2024,
3 ctrl 2,14,tag,45.21,23.5,21.56,12.9281,3,ctrl,2,7/7/2024,
3 ctrl 3,15,tag,57.95,28.85,23.57,21.3816,3,ctrl,3,7/7/2024,
3 ctrl 4,16,tag,50.83,22.71,22.72,14.8262,3,ctrl,4,7/7/2024,
3 ctrl 5,17,tag,48.84,23.81,22.28,17.1974,3,ctrl,5,7/7/2024,
3 ctrl 6,18,tag,51.1,21.06,22.12,15.4141,3,ctrl,6,7/7/2024,
4 ctrl 1,19,tag,58.31,25.23,25.42,20.964,4,ctrl,1,7/7/2024,
4 ctrl 2,20,tag,54.36,26.49,21.76,16.8286,4,ctrl,2,7/7/2024,
4 ctrl 3,21,tag,47.66,23.62,17.65,10.5954,4,ctrl,3,7/7/2024,
4 ctrl 4,22,tag,48.89,25.07,22.82,13.5975,4,ctrl,4,7/7/2024,
4 ctrl 5,23,tag,52.28,25.57,24.36,18.7081,4,ctrl,5,7/7/2024,
4 ctrl 6,24,tag,50.57,24.65,23.85,17.92,4,ctrl,6,7/7/2024,
5 ctrl 1,25,tag,52.94,26.54,21.75,14.793,5,ctrl,1,7/7/2024,
5 ctrl 2,26,tag,55.05,27.94,22.55,18.4397,5,ctrl,2,7/7/2024,
5 ctrl 3,27,tag,47.55,24.02,22.18,14.3078,5,ctrl,3,7/7/2024,
5 ctrl 4,28,tag,48.52,24.06,20.56,11.5238,5,ctrl,4,7/7/2024,
5 ctrl 5,29,tag,56.95,23.67,23.41,19.3452,5,ctrl,5,7/7/2024,
5 ctrl 6,30,tag,54.34,25.53,26.41,23.7905,5,ctrl,6,7/7/2024,
6 ctrl 1,31,tag,44.25,22.81,20.85,13.3598,6,ctrl,1,7/7/2024,
6 ctrl 2,32,tag,48.35,22.41,22.66,17.3423,6,ctrl,2,7/7/2024,
6 ctrl 3,33,tag,52.35,24.56,23.63,20.7208,6,ctrl,3,7/7/2024,
6 ctrl 4,34,tag,50.04,22.43,21.76,14.3103,6,ctrl,4,7/7/2024,
6 ctrl 5,35,tag,48.27,22.04,20.12,10.0852,6,ctrl,5,7/7/2024,
6 ctrl 6,36,tag,57.08,26.47,24.06,22.4301,6,ctrl,6,7/7/2024,
7 ctrl 1,37,tag,52.55,23.75,21.54,15.2291,7,ctrl,1,7/7/2024,
7 ctrl 2,38,tag,44.02,21.39,20.34,11.8154,7,ctrl,2,7/7/2024,
7 ctrl 3,39,tag,44.29,22.27,21.05,12.7272,7,ctrl,3,7/7/2024,
7 ctrl 4,40,tag,57.76,27.75,27,23.9431,7,ctrl,4,7/7/2024,
7 ctrl 5,41,tag,49.45,21.5,21.26,16.7093,7,ctrl,5,7/7/2024,
7 ctrl 6,42,tag,48.53,22.02,20.46,11.4392,7,ctrl,6,7/7/2024,
8 ctrl 1,43,tag,49.13,24.25,23.85,16.6177,8,ctrl,1,7/7/2024,
8 ctrl 2,44,tag,54.56,24.47,22,18.8051,8,ctrl,2,7/7/2024,
8 ctrl 3,45,tag,42.67,19.64,21.67,11.2462,8,ctrl,3,7/7/2024,
8 ctrl 4,46,tag,51.29,24.98,22.96,19.815,8,ctrl,4,7/7/2024,
8 ctrl 5,47,tag,48.68,21.77,21.3,13.842,8,ctrl,5,7/7/2024,
8 ctrl 6,48,tag,53.43,26.59,25.2,20.0282,8,ctrl,6,7/7/2024,
9 ctrl 1,49,tag,45.74,24.07,21.29,13.3039,9,ctrl,1,7/7/2024,
9 ctrl 2,50,tag,47.93,23.65,22.1,14.3297,9,ctrl,2,7/7/2024,
9 ctrl 3,51,tag,46.04,24.24,24.86,15.5033,9,ctrl,3,7/7/2024,
9 ctrl 4,52,tag,45.43,22.04,19.54,9.7628,9,ctrl,4,7/7/2024,
9 ctrl 5,53,tag,47.94,22.87,22.3,15.5447,9,ctrl,5,7/7/2024,
9 ctrl 6,54,tag,51.98,23.92,24.94,18.2789,9,ctrl,6,7/7/2024,
10 ctrl 1,55,tag,57.03,24.68,23.81,16.0746,10,ctrl,1,7/7/2024,
10 ctrl 2,56,tag,48.19,23.71,21.89,14.1907,10,ctrl,2,7/7/2024,
10 ctrl 3,57,tag,48.68,22.63,24.89,15.9894,10,ctrl,3,7/7/2024,
10 ctrl 4,58,tag,57.38,26.14,26.29,22.6649,10,ctrl,4,7/7/2024,
10 ctrl 5,59,tag,43.98,21.34,18.3,10.0056,10,ctrl,5,7/7/2024,
10 ctrl 6,60,tag,48.74,26.66,22.7,16.661,10,ctrl,6,7/7/2024,
11 ctrl 1,61,tag,52.89,22.84,24.44,19.5503,11,ctrl,1,7/7/2024,
11 ctrl 2,62,tag,46.3,23.39,20.87,11.4494,11,ctrl,2,7/7/2024,
11 ctrl 3,63,tag,54.02,24.33,21.67,18.1036,11,ctrl,3,7/7/2024,
11 ctrl 4,64,tag,45.05,22.75,20.23,15.5142,11,ctrl,4,7/7/2024,
11 ctrl 5,65,tag,43.07,22.14,18.5,12.1642,11,ctrl,5,7/7/2024,
11 ctrl 6,66,tag,50.3,25.89,21.14,14.6427,11,ctrl,6,7/7/2024,
12 ctrl 1,67,tag,51.62,25.04,23.59,18.6589,12,ctrl,1,7/7/2024,
12 ctrl 2,68,tag,55.16,26.09,24.35,21.2281,12,ctrl,2,7/7/2024,
12 ctrl 3,69,tag,46.01,22.82,24.26,17.4383,12,ctrl,3,7/7/2024,
12 ctrl 4,70,tag,45.12,21.96,19.69,10.4789,12,ctrl,4,7/7/2024,
12 ctrl 5,71,tag,48.44,21.77,23.04,15.0257,12,ctrl,5,7/7/2024,
12 ctrl 6,72,tag,51.07,26.56,22.99,15.2301,12,ctrl,6,7/7/2024,
13 ctrl 1,73,tag,52.22,25.14,23.46,18.4401,13,ctrl,1,7/7/2024,
13 ctrl 2,74,tag,48.74,25.18,21.86,17.1891,13,ctrl,2,7/7/2024,
13 ctrl 3,75,tag,45.95,22.39,21.37,14.1468,13,ctrl,3,7/7/2024,
13 ctrl 4,76,tag,45.54,25.57,24.62,16.9445,13,ctrl,4,7/7/2024,
13 ctrl 5,77,tag,47.12,23.11,20.73,12.6628,13,ctrl,5,7/7/2024,
13 ctrl 6,78,tag,53.89,25.07,23.82,19.9597,13,ctrl,6,7/7/2024,
14 ctrl 1,79,tag,54.24,23.26,21.43,15.9233,14,ctrl,1,7/7/2024,
14 ctrl 2,80,tag,52.73,24.3,21.69,16.4879,14,ctrl,2,7/7/2024,
14 ctrl 3,81,tag,47.31,23.62,20.76,11.9527,14,ctrl,3,7/7/2024,
14 ctrl 4,82,tag,48.64,21.16,20.11,11.1987,14,ctrl,4,7/7/2024,
14 ctrl 5,83,tag,45.31,23.26,24.88,15.6781,14,ctrl,5,7/7/2024,
14 ctrl 6,84,tag,47.49,24.54,25.31,18.4072,14,ctrl,6,7/7/2024,
15 ctrl 1,85,tag,48.52,26.11,22.34,17.4536,15,ctrl,1,7/7/2024,
15 ctrl 2,86,tag,52.61,25.95,22.77,18.3007,15,ctrl,2,7/7/2024,
15 ctrl 3,87,tag,52.97,23.94,23.92,17.7043,15,ctrl,3,7/7/2024,
15 ctrl 4,88,tag,48.8,23.17,23.69,16.6005,15,ctrl,4,7/7/2024,
15 ctrl 5,89,tag,45.9,21.86,20.83,12.0779,15,ctrl,5,7/7/2024,
15 ctrl 6,90,tag,52.85,27.56,23.81,20.3945,15,ctrl,6,7/7/2024,
17 ctrl 1,91,tag,50.92,22.23,20.87,13.4209,17,ctrl,1,7/7/2024,
17 ctrl 2,92,tag,54.38,28.01,23.67,22.277,17,ctrl,2,7/7/2024,
17 ctrl 3,93,tag,52.23,22.72,24.13,19.3437,17,ctrl,3,7/7/2024,
17 ctrl 4,94,tag,51.17,25.92,25.61,18.2111,17,ctrl,4,7/7/2024,
17 ctrl 5,95,tag,45.97,22.61,21.13,11.9938,17,ctrl,5,7/7/2024,
17 ctrl 6,96,tag,52.55,24.45,23.97,19.8239,17,ctrl,6,7/7/2024,
18 ctrl 1,97,tag,47.65,24.68,21.04,16.3753,18,ctrl,1,7/7/2024,
18 ctrl 2,98,tag,55.35,27.64,24.78,20.3459,18,ctrl,2,7/7/2024,
18 ctrl 3,99,tag,46.69,24.27,20.75,12.2165,18,ctrl,3,7/7/2024,
18 ctrl 4,100,tag,45.88,21.5,22.15,15.9701,18,ctrl,4,7/7/2024,
18 ctrl 5,101,tag,48.18,22.01,19.82,12.7196,18,ctrl,5,7/7/2024,
18 ctrl 6,102,tag,55.74,26.88,24.49,17.8232,18,ctrl,6,7/7/2024,
19 ctrl 1,103,tag,46.26,22.37,18.77,9.46,19,ctrl,1,7/7/2024,
19 ctrl 2,104,tag,53.08,25.85,23.22,16.0646,19,ctrl,2,7/7/2024,
19 ctrl 3,105,tag,51.32,26.45,24.03,19.009,19,ctrl,3,7/7/2024,
19 ctrl 4,106,tag,51.77,24.52,21.9,14.8651,19,ctrl,4,7/7/2024,
19 ctrl 5,107,tag,52.63,24.41,21.84,14.4459,19,ctrl,5,7/7/2024,
19 ctrl 6,108,tag,49.42,23.83,21.61,15.8658,19,ctrl,6,7/7/2024,
9 1 1,109,red,57.48,25.28,24.68,18.4973,9,1,1,7/7/2024,
9 1 2,110,red,57.59,28.29,25.85,23.4969,9,1,2,7/7/2024,
9 1 3,111,red,44.32,22.66,19.49,8.7145,9,1,3,7/7/2024,
9 1 4,112,red,51.31,22.82,20.66,11.6531,9,1,4,7/7/2024,
9 1 5,113,red,50.37,24.63,22,14.997,9,1,5,7/7/2024,
9 1 6,114,red,45.94,24.68,25.3,19.6866,9,1,6,7/7/2024,
9 2 1,115,red,51.03,27.62,22.81,17.4253,9,2,1,7/7/2024,
9 2 2,116,red,48.22,24.3,19.34,10.5993,9,2,2,7/7/2024,
9 2 3,117,red,50.43,22.4,21.59,17.8623,9,2,3,7/7/2024,
9 2 4,118,red,59.66,26.35,23.57,18.3202,9,2,4,7/7/2024,
9 2 5,119,red,54.68,26.58,27.17,25.1313,9,2,5,7/7/2024,
9 2 6,120,red,48.86,24.02,20.78,14.2922,9,2,6,7/7/2024,
9 3 1,121,red,42.83,21.76,17.66,8.4577,9,3,1,7/7/2024,
9 3 2,122,red,48.57,24.16,21.98,14.072,9,3,2,7/7/2024,
9 3 3,123,red,50.58,22.96,18.27,12.6327,9,3,3,7/7/2024,
9 3 4,124,red,50.83,23.38,21.52,15.3073,9,3,4,7/7/2024,
9 3 5,125,red,50.95,23.41,22.73,16.5633,9,3,5,7/7/2024,
9 3 6,126,red,46.39,21.75,21.93,14.5742,9,3,6,7/7/2024,
9 4 1,127,red,54.12,24.91,26.6,17.2289,9,4,1,7/7/2024,
9 4 2,128,red,52.72,24.82,23.18,20.1059,9,4,2,7/7/2024,
9 4 3,129,red,48.19,24.81,23.38,15.5553,9,4,3,7/7/2024,
9 4 4,130,red,48.32,23.63,20.14,15.8064,9,4,4,7/7/2024,
9 4 5,131,red,48.23,20.98,21.16,15.0071,9,4,5,7/7/2024,
9 4 6,132,red,47.06,22.21,21.86,13.8691,9,4,6,7/7/2024,
9 5 1,133,red,55.43,26.49,24.09,19.477,9,5,1,7/7/2024,
9 5 2,134,red,50.14,21.43,20.41,11.6526,9,5,2,7/7/2024,
9 5 3,135,red,42,21.63,19.45,9.7764,9,5,3,7/7/2024,
9 5 4,136,red,57.84,25.39,25.25,24.1843,9,5,4,7/7/2024,
9 5 5,137,red,53.26,23.89,25.37,18.9723,9,5,5,7/7/2024,
9 5 6,138,red,52.08,25.48,24.17,21.6907,9,5,6,7/7/2024,
3 1 1,139,pink,52.25,23.46,23.85,19.6872,3,1,1,7/7/2024,
3 1 2,140,pink,43.63,21.54,17.02,9.8378,3,1,2,7/7/2024,
3 1 3,141,pink,47.65,22.45,19.39,13.5859,3,1,3,7/7/2024,
3 1 4,142,pink,45.15,21.94,22.93,16.9321,3,1,4,7/7/2024,
3 1 5,143,pink,53.5,24.77,24.58,20.2655,3,1,5,7/7/2024,
3 1 6,144,pink,42.17,21.46,20.3,11.0268,3,1,6,7/7/2024,
3 2 1,145,pink,50.66,23.4,21.9,15.8183,3,2,1,7/7/2024,
3 2 2,146,pink,58.58,27.36,21.44,21.0169,3,2,2,7/7/2024,
3 2 3,147,pink,47.27,22.26,20.48,13.5376,3,2,3,7/7/2024,
3 2 4,148,pink,49.83,23.58,21.04,13.6601,3,2,4,7/7/2024,
3 2 5,149,pink,42.24,20.08,18.49,8.7482,3,2,5,7/7/2024,
3 2 6,150,pink,60.5,27.2,26.92,25.9722,3,2,6,7/7/2024,
3 3 1,151,pink,46.23,24.59,19.71,13.2968,3,3,1,7/7/2024,
3 3 2,152,pink,43.64,21.17,20.49,10.4963,3,3,2,7/7/2024,
3 3 3,153,pink,58.82,27.57,21.76,18.6249,3,3,3,7/7/2024,
3 3 4,154,pink,39.4,20.92,20.52,10.0341,3,3,4,7/7/2024,
3 3 5,155,pink,44.97,20.97,19.64,11.8195,3,3,5,7/7/2024,
3 3 6,156,pink,45.98,24.13,21.11,15.2489,3,3,6,7/7/2024,
3 4 1,157,pink,50.25,23.53,21.82,17.9215,3,4,1,7/7/2024,
3 4 2,158,pink,39.45,18.75,17.48,7.892,3,4,2,7/7/2024,
3 4 3,159,pink,50.12,23.61,17.75,14.465,3,4,3,7/7/2024,
3 4 4,160,pink,43.51,19.66,18.71,10.7038,3,4,4,7/7/2024,
3 4 5,161,pink,52.69,24.56,24.6,20.0969,3,4,5,7/7/2024,
3 4 6,162,pink,46.6,23.03,17.73,14.2849,3,4,6,7/7/2024,
3 5 1,163,pink,43.16,21.16,17.38,10.2804,3,5,1,7/7/2024,
3 5 2,164,pink,47.32,20.35,19.81,13.3248,3,5,2,7/7/2024,
3 5 3,165,pink,45.17,20.9,20.03,12.1227,3,5,3,7/7/2024,
3 5 4,166,pink,51.79,25.07,23.69,20.5296,3,5,4,7/7/2024,
3 5 5,167,pink,45.1,21.97,20.01,12.9262,3,5,5,7/7/2024,
3 5 6,168,pink,44.43,22.46,19.04,11.7333,3,5,6,7/7/2024,
4 1 1,169,light green,46.1,23.77,24.02,16.7408,4,1,1,7/7/2024,
4 1 2,170,light green,43.88,22.13,21.59,14.9752,4,1,2,7/7/2024,
4 1 3,171,light green,42.62,20.9,19.37,11.6872,4,1,3,7/7/2024,
4 1 4,172,light green,51.1,22.55,21.59,16.091,4,1,4,7/7/2024,
4 1 5,173,light green,41.93,19.93,18.09,9.7178,4,1,5,7/7/2024,
4 1 6,174,light green,45.92,21.25,21.23,14.5408,4,1,6,7/7/2024,
4 2 1,175,light green,44.71,20.83,19.53,11.4879,4,2,1,7/7/2024,
4 2 2,176,light green,57.48,25.52,25.39,23.259,4,2,2,7/7/2024,
4 2 3,177,light green,45.09,23.34,20.32,13.6546,4,2,3,7/7/2024,
4 2 4,178,light green,42.96,21.41,19.33,12.4767,4,2,4,7/7/2024,
4 2 5,179,light green,45.88,22.24,22.24,13.632,4,2,5,7/7/2024,
4 2 6,180,light green,37.68,19.18,17.45,7.3641,4,2,6,7/7/2024,
4 3 1,181,light green,53.27,24.58,23.09,20.0007,4,3,1,7/7/2024,
4 3 2,182,light green,46.74,20.68,22.28,15.3216,4,3,2,7/7/2024,
4 3 3,183,light green,45.01,21.42,22.35,15.2975,4,3,3,7/7/2024,
4 3 4,184,light green,37.6,21.57,17.47,8.1489,4,3,4,7/7/2024,
4 3 5,185,light green,42.8,19.74,18.2,9.8392,4,3,5,7/7/2024,
4 3 6,186,light green,49.36,23.41,19.94,15.704,4,3,6,7/7/2024,
4 4 1,187,light green,42.56,19.26,18.32,8.5853,4,4,1,7/7/2024,
4 4 2,188,light green,46.98,22.37,21.84,11.9742,4,4,2,7/7/2024,
4 4 3,189,light green,54.08,26.48,19.53,14.3354,4,4,3,7/7/2024,
4 4 4,190,light green,39.53,20.03,15,7.2782,4,4,4,7/7/2024,
4 4 5,191,light green,41.76,19.25,20.69,12.8649,4,4,5,7/7/2024,
4 4 6,192,light green,54.09,22.74,22.99,20.1809,4,4,6,7/7/2024,
4 5 1,193,light green,47.62,22.35,20.86,14.025,4,5,1,7/7/2024,
4 5 2,194,light green,44.11,21.18,18.65,12.3778,4,5,2,7/7/2024,
4 5 3,195,light green,43.06,21.18,16.61,8.8718,4,5,3,7/7/2024,
4 5 4,196,light green,51.49,22.9,21.73,14.2391,4,5,4,7/7/2024,
4 5 5,197,light green,38.64,18.73,19.58,9.7331,4,5,5,7/7/2024,
4 5 6,198,light green,50.19,25.44,23.19,19.9057,4,5,6,7/7/2024,
19 1 1,199,dark green,42.42,19.64,19.36,11.7694,19,1,1,7/7/2024,
19 1 2,200,dark green,49.6,24.38,20.3,13.927,19,1,2,7/7/2024,
19 1 3,201,dark green,48.38,20.37,24.13,15.9538,19,1,3,7/7/2024,
19 1 4,202,dark green,39.94,16.71,17.98,8.8291,19,1,4,7/7/2024,
19 1 5,203,dark green,52.51,26.2,25.06,22.1551,19,1,5,7/7/2024,
19 1 6,204,dark green,43.43,21.14,20.16,13.1208,19,1,6,7/7/2024,
19 2 1,205,dark green,44.08,21.7,20.86,14.1591,19,2,1,7/7/2024,
19 2 2,206,dark green,39.75,19.47,19.74,8.5014,19,2,2,7/7/2024,
19 2 3,207,dark green,45.7,19.54,20.88,11.2905,19,2,3,7/7/2024,
19 2 4,208,dark green,47.57,22.14,20.73,16.4078,19,2,4,7/7/2024,
19 2 5,209,dark green,41.22,18.38,16.45,8.4677,19,2,5,7/7/2024,
19 2 6,210,dark green,51.22,25.17,24.33,19.0553,19,2,6,7/7/2024,
19 3 1,211,dark green,47.12,22.68,18.41,11.9725,19,3,1,7/7/2024,
19 3 2,212,dark green,51.03,26.77,23.56,16.5234,19,3,2,7/7/2024,
19 3 3,213,dark green,42.72,20.06,18.46,10.2682,19,3,3,7/7/2024,
19 3 4,214,dark green,43.5,21.25,20.21,12.8778,19,3,4,7/7/2024,
19 3 5,215,dark green,40.53,21.24,19.08,10.0209,19,3,5,7/7/2024,
19 3 6,216,dark green,53.17,23.25,20.8,15.8857,19,3,6,7/7/2024,
19 4 1,217,dark green,49.91,25.99,22.89,18.6148,19,4,1,7/7/2024,
19 4 2,218,dark green,39.37,18.34,19.42,9.7354,19,4,2,7/7/2024,
19 4 3,219,dark green,52.41,26.14,21.34,18.131,19,4,3,7/7/2024,
19 4 4,220,dark green,40.81,19.39,16.28,7.6181,19,4,4,7/7/2024,
19 4 5,221,dark green,50.34,24.26,24.08,20.5023,19,4,5,7/7/2024,
19 4 6,222,dark green,36.29,17.68,16.42,6.5969,19,4,6,7/7/2024,
19 5 1,223,dark green,54.92,25.98,20.61,16.5954,19,5,1,7/7/2024,
19 5 2,224,dark green,54.75,23.77,22.3,18.6942,19,5,2,7/7/2024,
19 5 3,225,dark green,49.56,23.71,21.98,16.4524,19,5,3,7/7/2024,
19 5 4,226,dark green,47.8,22.21,23.39,16.6596,19,5,4,7/7/2024,
19 5 5,227,dark green,42.37,20.02,16.25,7.874,19,5,5,7/7/2024,
19 5 6,228,dark green,53.03,24.95,23.54,18.7302,19,5,6,7/7/2024,
14 1 1,229,red-pink,51.38,24.69,24.54,19.2273,14,1,1,7/7/2024,
14 1 2,230,red-pink,42.23,21.37,19.21,10.9011,14,1,2,7/7/2024,
14 1 3,231,red-pink,46.39,22.31,22.61,15.6881,14,1,3,7/7/2024,
14 1 4,232,red-pink,44.75,20.54,20.34,10.7126,14,1,4,7/7/2024,
14 1 5,233,red-pink,47.98,25.01,21.34,18.0819,14,1,5,7/7/2024,
14 1 6,234,red-pink,46.84,21.24,20.12,12.5884,14,1,6,7/7/2024,
14 2 1,235,red-pink,48.97,23.32,22.6,19.5949,14,2,1,7/7/2024,
14 2 2,236,red-pink,49.2,23.71,22.51,19.5511,14,2,2,7/7/2024,
14 2 3,237,red-pink,46.73,23.05,20.4,14.6394,14,2,3,7/7/2024,
14 2 4,238,red-pink,46.04,21.23,19.79,14.2823,14,2,4,7/7/2024,
14 2 5,239,red-pink,44.24,21.76,16.67,8.6621,14,2,5,7/7/2024,
14 2 6,240,red-pink,49.75,24.19,25.29,19.1861,14,2,6,7/7/2024,
14 3 1,241,red-pink,43.88,19.57,20.3,12.7074,14,3,1,7/7/2024,
14 3 2,242,red-pink,59.64,29.27,24.92,27.484,14,3,2,7/7/2024,
14 3 3,243,red-pink,48.08,21.58,21.72,13.2569,14,3,3,7/7/2024,
14 3 4,244,red-pink,48.11,24.49,21.24,14.8432,14,3,4,7/7/2024,
14 3 5,245,red-pink,43.65,21.52,18.59,11.4384,14,3,5,7/7/2024,
14 3 6,246,red-pink,51.01,23.95,20.49,17.0576,14,3,6,7/7/2024,
14 4 1,247,red-pink,44,22.15,22.35,15.7356,14,4,1,7/7/2024,
14 4 2,248,red-pink,57,22.01,25.3,22.481,14,4,2,7/7/2024,
14 4 3,249,red-pink,44.3,21.36,21.03,12.2441,14,4,3,7/7/2024,
14 4 4,250,red-pink,48.38,23.35,22.27,16.2794,14,4,4,7/7/2024,
14 4 5,251,red-pink,44.93,23.06,20.89,14.4514,14,4,5,7/7/2024,
14 4 6,252,red-pink,49.09,21.1,21.37,15.915,14,4,6,7/7/2024,
14 5 1,253,red-pink,43.59,20.8,20.66,12.9089,14,5,1,7/7/2024,
14 5 2,254,red-pink,47.93,21.92,21.11,14.5183,14,5,2,7/7/2024,
14 5 3,256,red-pink,44.11,21,18.72,12.3367,14,5,3,7/7/2024,
14 5 4,257,red-pink,51.09,25.45,21.98,18.0957,14,5,4,7/7/2024,
14 5 5,258,red-pink,52.02,24.46,21.25,16.5623,14,5,5,7/7/2024,
15 1 1,259,red-light green,45.15,22.73,21.15,15.9601,15,1,1,7/7/2024,
15 1 2,260,red-light green,51.31,21.82,22.56,15.2787,15,1,2,7/7/2024,
15 1 3,261,red-light green,52.96,24.6,23.05,17.9199,15,1,3,7/7/2024,
15 1 4,262,red-light green,46.33,22.59,21.91,15.041,15,1,4,7/7/2024,
15 1 5,263,red-light green,59.18,26.58,24.49,21.5057,15,1,5,7/7/2024,
15 1 6,264,red-light green,51.33,25.22,20.86,18.0204,15,1,6,7/7/2024,
15 2 1,265,red-light green,50.81,24.44,24.69,21.3349,15,2,1,7/7/2024,
